timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/03/27 18:36:06.614, 2, 13 %, 2 %, 606 MiB, 49140 MiB, 50, 84.57 W
2026/03/27 18:36:06.614, 3, 1 %, 1 %, 616 MiB, 49140 MiB, 46, 75.91 W
2026/03/27 18:36:36.615, 0, 23 %, 5 %, 1863 MiB, 49140 MiB, 47, 91.18 W
2026/03/27 18:36:36.615, 1, 5 %, 1 %, 608 MiB, 49140 MiB, 50, 82.16 W
2026/03/27 18:36:36.615, 2, 13 %, 3 %, 606 MiB, 49140 MiB, 50, 83.66 W
2026/03/27 18:36:36.615, 3, 11 %, 2 %, 616 MiB, 49140 MiB, 46, 78.35 W
2026/03/27 18:37:06.616, 0, 10 %, 2 %, 1863 MiB, 49140 MiB, 47, 85.73 W
2026/03/27 18:37:06.616, 1, 13 %, 3 %, 608 MiB, 49140 MiB, 50, 82.54 W
2026/03/27 18:37:06.616, 2, 3 %, 1 %, 606 MiB, 49140 MiB, 50, 81.62 W
2026/03/27 18:37:06.616, 3, 8 %, 0 %, 616 MiB, 49140 MiB, 46, 75.61 W
2026/03/27 18:37:36.617, 0, 0 %, 0 %, 1863 MiB, 49140 MiB, 47, 86.93 W
2026/03/27 18:37:36.617, 1, 17 %, 4 %, 608 MiB, 49140 MiB, 50, 83.45 W
2026/03/27 18:37:36.617, 2, 3 %, 1 %, 606 MiB, 49140 MiB, 50, 83.99 W
2026/03/27 18:37:36.617, 3, 11 %, 2 %, 616 MiB, 49140 MiB, 46, 78.08 W
2026/03/27 18:38:06.618, 0, 0 %, 0 %, 1863 MiB, 49140 MiB, 48, 88.02 W
2026/03/27 18:38:06.619, 1, 2 %, 1 %, 608 MiB, 49140 MiB, 50, 80.35 W
2026/03/27 18:38:06.619, 2, 8 %, 2 %, 606 MiB, 49140 MiB, 50, 82.63 W
2026/03/27 18:38:06.619, 3, 3 %, 1 %, 616 MiB, 49140 MiB, 46, 79.56 W
2026/03/27 18:38:36.619, 0, 14 %, 3 %, 1863 MiB, 49140 MiB, 48, 88.29 W
2026/03/27 18:38:36.620, 1, 16 %, 4 %, 608 MiB, 49140 MiB, 50, 82.10 W
2026/03/27 18:38:36.620, 2, 10 %, 2 %, 606 MiB, 49140 MiB, 50, 83.14 W
2026/03/27 18:38:36.620, 3, 16 %, 3 %, 616 MiB, 49140 MiB, 46, 80.18 W
2026/03/27 18:39:06.621, 0, 15 %, 3 %, 1863 MiB, 49140 MiB, 47, 88.64 W
2026/03/27 18:39:06.621, 1, 11 %, 2 %, 608 MiB, 49140 MiB, 50, 80.75 W
2026/03/27 18:39:06.621, 2, 15 %, 4 %, 606 MiB, 49140 MiB, 50, 86.68 W
2026/03/27 18:39:06.621, 3, 12 %, 3 %, 616 MiB, 49140 MiB, 46, 78.18 W
2026/03/27 18:39:36.622, 0, 14 %, 3 %, 1863 MiB, 49140 MiB, 47, 89.03 W
2026/03/27 18:39:36.622, 1, 4 %, 1 %, 608 MiB, 49140 MiB, 50, 79.39 W
2026/03/27 18:39:36.623, 2, 12 %, 2 %, 606 MiB, 49140 MiB, 49, 83.08 W
2026/03/27 18:39:36.623, 3, 5 %, 1 %, 616 MiB, 49140 MiB, 46, 78.96 W
2026/03/27 18:40:06.624, 0, 0 %, 0 %, 1863 MiB, 49140 MiB, 48, 86.64 W
2026/03/27 18:40:06.624, 1, 12 %, 2 %, 608 MiB, 49140 MiB, 50, 81.11 W
2026/03/27 18:40:06.624, 2, 13 %, 3 %, 606 MiB, 49140 MiB, 50, 82.36 W
2026/03/27 18:40:06.624, 3, 22 %, 5 %, 618 MiB, 49140 MiB, 46, 77.69 W
2026/03/27 18:40:36.625, 0, 0 %, 0 %, 1863 MiB, 49140 MiB, 47, 88.64 W
2026/03/27 18:40:36.625, 1, 13 %, 2 %, 608 MiB, 49140 MiB, 50, 79.58 W
2026/03/27 18:40:36.625, 2, 13 %, 3 %, 606 MiB, 49140 MiB, 50, 84.64 W
2026/03/27 18:40:36.625, 3, 7 %, 2 %, 618 MiB, 49140 MiB, 46, 78.00 W
2026/03/27 18:41:06.626, 0, 0 %, 0 %, 1863 MiB, 49140 MiB, 48, 88.16 W
2026/03/27 18:41:06.626, 1, 0 %, 0 %, 608 MiB, 49140 MiB, 50, 84.43 W
2026/03/27 18:41:06.627, 2, 16 %, 4 %, 606 MiB, 49140 MiB, 50, 85.03 W
2026/03/27 18:41:06.627, 3, 0 %, 0 %, 618 MiB, 49140 MiB, 46, 78.92 W
2026/03/27 18:41:36.628, 0, 12 %, 2 %, 1863 MiB, 49140 MiB, 48, 89.64 W
2026/03/27 18:41:36.628, 1, 13 %, 2 %, 608 MiB, 49140 MiB, 50, 84.22 W
2026/03/27 18:41:36.628, 2, 17 %, 4 %, 606 MiB, 49140 MiB, 50, 86.06 W
2026/03/27 18:41:36.628, 3, 13 %, 3 %, 618 MiB, 49140 MiB, 46, 78.95 W
2026/03/27 18:42:06.629, 0, 11 %, 2 %, 1863 MiB, 49140 MiB, 47, 86.68 W
2026/03/27 18:42:06.629, 1, 19 %, 4 %, 608 MiB, 49140 MiB, 51, 83.12 W
2026/03/27 18:42:06.629, 2, 16 %, 3 %, 606 MiB, 49140 MiB, 50, 83.94 W
2026/03/27 18:42:06.629, 3, 11 %, 2 %, 618 MiB, 49140 MiB, 46, 79.00 W
2026/03/27 18:42:36.630, 0, 11 %, 1 %, 1863 MiB, 49140 MiB, 48, 89.72 W
2026/03/27 18:42:36.631, 1, 5 %, 1 %, 608 MiB, 49140 MiB, 50, 79.71 W
2026/03/27 18:42:36.631, 2, 14 %, 3 %, 606 MiB, 49140 MiB, 50, 84.48 W
2026/03/27 18:42:36.631, 3, 1 %, 1 %, 618 MiB, 49140 MiB, 46, 78.83 W
2026/03/27 18:43:06.632, 0, 13 %, 3 %, 1863 MiB, 49140 MiB, 48, 87.39 W
2026/03/27 18:43:06.632, 1, 5 %, 1 %, 608 MiB, 49140 MiB, 50, 79.89 W
2026/03/27 18:43:06.632, 2, 17 %, 4 %, 606 MiB, 49140 MiB, 50, 85.70 W
2026/03/27 18:43:06.632, 3, 0 %, 0 %, 618 MiB, 49140 MiB, 46, 79.86 W
2026/03/27 18:43:36.633, 0, 12 %, 2 %, 1863 MiB, 49140 MiB, 47, 87.33 W
2026/03/27 18:43:36.633, 1, 22 %, 5 %, 608 MiB, 49140 MiB, 51, 82.97 W
2026/03/27 18:43:36.633, 2, 12 %, 2 %, 606 MiB, 49140 MiB, 50, 83.48 W
2026/03/27 18:43:36.633, 3, 5 %, 1 %, 618 MiB, 49140 MiB, 46, 80.81 W
2026/03/27 18:44:06.634, 0, 0 %, 0 %, 1863 MiB, 49140 MiB, 48, 87.63 W
2026/03/27 18:44:06.635, 1, 22 %, 5 %, 608 MiB, 49140 MiB, 51, 82.72 W
2026/03/27 18:44:06.635, 2, 24 %, 5 %, 606 MiB, 49140 MiB, 50, 86.60 W
2026/03/27 18:44:06.635, 3, 18 %, 3 %, 618 MiB, 49140 MiB, 46, 78.49 W
2026/03/27 18:44:36.636, 0, 13 %, 3 %, 1863 MiB, 49140 MiB, 48, 88.54 W
2026/03/27 18:44:36.636, 1, 21 %, 4 %, 608 MiB, 49140 MiB, 51, 84.35 W
2026/03/27 18:44:36.636, 2, 7 %, 2 %, 606 MiB, 49140 MiB, 50, 85.03 W
2026/03/27 18:44:36.636, 3, 9 %, 2 %, 618 MiB, 49140 MiB, 46, 79.26 W
2026/03/27 18:45:06.637, 0, 13 %, 3 %, 1863 MiB, 49140 MiB, 48, 88.46 W
2026/03/27 18:45:06.637, 1, 13 %, 3 %, 608 MiB, 49140 MiB, 51, 81.83 W
2026/03/27 18:45:06.637, 2, 24 %, 4 %, 606 MiB, 49140 MiB, 50, 88.77 W
2026/03/27 18:45:06.637, 3, 22 %, 4 %, 618 MiB, 49140 MiB, 46, 82.81 W
2026/03/27 18:45:36.638, 0, 11 %, 2 %, 1863 MiB, 49140 MiB, 48, 89.16 W
2026/03/27 18:45:36.638, 1, 11 %, 2 %, 608 MiB, 49140 MiB, 51, 80.98 W
2026/03/27 18:45:36.638, 2, 14 %, 3 %, 606 MiB, 49140 MiB, 50, 86.04 W
2026/03/27 18:45:36.639, 3, 13 %, 3 %, 618 MiB, 49140 MiB, 47, 80.33 W
2026/03/27 18:46:06.639, 0, 15 %, 3 %, 1863 MiB, 49140 MiB, 48, 91.93 W
2026/03/27 18:46:06.640, 1, 0 %, 0 %, 608 MiB, 49140 MiB, 51, 81.75 W
2026/03/27 18:46:06.640, 2, 24 %, 5 %, 606 MiB, 49140 MiB, 50, 86.36 W
2026/03/27 18:46:06.640, 3, 13 %, 3 %, 618 MiB, 49140 MiB, 47, 81.12 W
2026/03/27 18:46:36.641, 0, 0 %, 0 %, 1863 MiB, 49140 MiB, 48, 87.99 W
2026/03/27 18:46:36.641, 1, 2 %, 1 %, 608 MiB, 49140 MiB, 51, 82.18 W
