timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/03/29 01:11:32.313, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 57, 113.55 W
2026/03/29 01:11:32.314, 1, 28 %, 18 %, 3512 MiB, 49140 MiB, 61, 119.91 W
2026/03/29 01:11:32.314, 2, 0 %, 0 %, 3510 MiB, 49140 MiB, 59, 117.54 W
2026/03/29 01:11:32.314, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 55, 120.82 W
2026/03/29 01:12:02.315, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 57, 113.20 W
2026/03/29 01:12:02.315, 1, 0 %, 0 %, 3512 MiB, 49140 MiB, 60, 103.92 W
2026/03/29 01:12:02.315, 2, 61 %, 26 %, 3510 MiB, 49140 MiB, 59, 131.27 W
2026/03/29 01:12:02.315, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 58, 103.80 W
2026/03/29 01:12:32.316, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 57, 116.13 W
2026/03/29 01:12:32.316, 1, 8 %, 7 %, 3512 MiB, 49140 MiB, 59, 108.19 W
2026/03/29 01:12:32.317, 2, 0 %, 0 %, 3510 MiB, 49140 MiB, 59, 128.47 W
2026/03/29 01:12:32.317, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 55, 103.50 W
2026/03/29 01:13:02.318, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 56, 121.91 W
2026/03/29 01:13:02.318, 1, 0 %, 0 %, 3512 MiB, 49140 MiB, 62, 107.03 W
2026/03/29 01:13:02.318, 2, 36 %, 23 %, 3510 MiB, 49140 MiB, 60, 128.92 W
2026/03/29 01:13:02.318, 3, 95 %, 33 %, 3510 MiB, 49140 MiB, 57, 122.84 W
2026/03/29 01:13:32.319, 0, 97 %, 35 %, 4765 MiB, 49140 MiB, 58, 132.87 W
2026/03/29 01:13:32.319, 1, 0 %, 0 %, 3512 MiB, 49140 MiB, 60, 113.22 W
2026/03/29 01:13:32.319, 2, 28 %, 17 %, 3510 MiB, 49140 MiB, 60, 131.10 W
2026/03/29 01:13:32.319, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 56, 109.39 W
2026/03/29 01:14:02.320, 0, 16 %, 17 %, 4765 MiB, 49140 MiB, 57, 132.67 W
