site,n_obs,rmse_log,mae_log,r2_log,years,model
111056_45684,710,0.5340074173730022,0.43148856193741253,-0.38829109014565644,2018-2019,periodic_rbf
114224_47013,697,0.43520403679757286,0.35297449883993337,0.2313285794021669,2018-2019,periodic_rbf
105370_45440,727,0.5060646509196537,0.3899059006680858,0.1940210466276222,2018-2019,periodic_rbf
106490_45366,707,0.4826733191826927,0.3867658258810795,0.31487623302269896,2018-2019,periodic_rbf
114189_48364,726,0.6577860664035852,0.48996714970063704,0.1930737857998427,2018-2019,periodic_rbf
111987_46850,711,0.69689827490755,0.5445094681073234,-0.07373919151974473,2018-2019,periodic_rbf
109455_47049,722,0.5206300822111815,0.419273907425095,0.10742830784974866,2018-2019,periodic_rbf
107862_48318,726,0.4647247035116388,0.36572956750668,0.35977966248212656,2018-2019,periodic_rbf
104677_47868,704,0.48507647665906345,0.3847847700596836,0.13796038177653247,2018-2019,periodic_rbf
108720_47582,222,0.4001569147222764,0.29758257870323107,0.5344642712496696,2018-2019,periodic_rbf
113997_48510,221,0.4585968595421121,0.36258814174782894,0.5075957388639563,2018-2019,periodic_rbf
111712_46826,147,0.4025195432055717,0.3197107782495614,0.5301403877922075,2018-2019,periodic_rbf
113155_47122,223,0.4974503880063206,0.38395962594668526,0.44945603655565314,2018-2019,periodic_rbf
114001_45860,236,0.47111973745719343,0.3750632276224196,0.4385446942285639,2018-2019,periodic_rbf
115672_47955,218,0.37327569609727457,0.2902008828839564,0.6951049679619173,2018-2019,periodic_rbf
104476_48487,216,0.3970336087453155,0.30760707622116956,0.5031759629077708,2018-2019,periodic_rbf
114270_47773,211,0.3910839045577999,0.31198626724411715,0.6808728821722464,2018-2019,periodic_rbf
105103_48308,198,0.4379325636231965,0.33860734079320914,0.5051614196481674,2018-2019,periodic_rbf
106557_45648,235,0.5048878422725718,0.42055049164597225,0.10678135698594204,2018-2019,periodic_rbf
113484_47177,728,0.7042697570641738,0.5769659401753119,0.017874914446692647,2018-2019,periodic_rbf
