[latent6_pm25wt] Device: cuda
[latent6_pm25wt] K=10, latent_dim=6, beta=1.0, kl_warmup=0, exclude_doy=True
[latent6_pm25wt] 1,883,144 obs, 16 features
[latent6_pm25wt] Feature weights: [1.634, 2.927, 2.779, 2.597, 2.746, 2.723, 2.961, 1.349, 5.0, 2.413, 2.032, 4.089, 3.325, 1.004, 1.703, 1.537]
[latent6_pm25wt] Epoch  76/100 | train=13.2310 (recon=5.5411 kl=7.6899) | val=13.2202 | beta=1.000 | 539s
[latent6_pm25wt] Epoch  77/100 | train=13.2258 (recon=5.5342 kl=7.6916) | val=13.2067 | beta=1.000 | 545s
[latent6_pm25wt] Epoch  78/100 | train=13.2253 (recon=5.5326 kl=7.6927) | val=13.2210 | beta=1.000 | 552s
[latent6_pm25wt] Epoch  79/100 | train=13.2221 (recon=5.5279 kl=7.6942) | val=13.2093 | beta=1.000 | 559s
[latent6_pm25wt] Epoch  80/100 | train=13.2188 (recon=5.5238 kl=7.6950) | val=13.2037 | beta=1.000 | 567s
[latent6_pm25wt] Epoch  81/100 | train=13.2185 (recon=5.5224 kl=7.6961) | val=13.2038 | beta=1.000 | 573s
[latent6_pm25wt] Epoch  82/100 | train=13.2164 (recon=5.5185 kl=7.6979) | val=13.2062 | beta=1.000 | 581s
[latent6_pm25wt] Epoch  83/100 | train=13.2147 (recon=5.5130 kl=7.7017) | val=13.2034 | beta=1.000 | 588s
[latent6_pm25wt] Epoch  84/100 | train=13.2125 (recon=5.5102 kl=7.7023) | val=13.2066 | beta=1.000 | 594s
[latent6_pm25wt] Epoch  85/100 | train=13.2099 (recon=5.5080 kl=7.7020) | val=13.2006 | beta=1.000 | 601s
[latent6_pm25wt] Epoch  86/100 | train=13.2071 (recon=5.5041 kl=7.7030) | val=13.1951 | beta=1.000 | 607s
[latent6_pm25wt] Epoch  87/100 | train=13.2045 (recon=5.4987 kl=7.7058) | val=13.1954 | beta=1.000 | 615s
[latent6_pm25wt] Epoch  88/100 | train=13.2059 (recon=5.4986 kl=7.7072) | val=13.1904 | beta=1.000 | 622s
[latent6_pm25wt] Epoch  89/100 | train=13.2051 (recon=5.4969 kl=7.7082) | val=13.1928 | beta=1.000 | 629s
[latent6_pm25wt] Epoch  90/100 | train=13.2001 (recon=5.4900 kl=7.7102) | val=13.2070 | beta=1.000 | 636s
[latent6_pm25wt] Epoch  91/100 | train=13.1989 (recon=5.4886 kl=7.7103) | val=13.2040 | beta=1.000 | 642s
[latent6_pm25wt] Epoch  92/100 | train=13.1988 (recon=5.4863 kl=7.7124) | val=13.1848 | beta=1.000 | 649s
[latent6_pm25wt] Epoch  93/100 | train=13.1932 (recon=5.4804 kl=7.7128) | val=13.1924 | beta=1.000 | 656s
[latent6_pm25wt] Epoch  94/100 | train=13.1945 (recon=5.4808 kl=7.7137) | val=13.1857 | beta=1.000 | 664s
[latent6_pm25wt] Epoch  95/100 | train=13.1900 (recon=5.4729 kl=7.7171) | val=13.1761 | beta=1.000 | 671s
[latent6_pm25wt] Epoch  96/100 | train=13.1911 (recon=5.4725 kl=7.7185) | val=13.1762 | beta=1.000 | 678s
[latent6_pm25wt] Epoch  97/100 | train=13.1894 (recon=5.4695 kl=7.7199) | val=13.1933 | beta=1.000 | 685s
[latent6_pm25wt] Epoch  98/100 | train=13.1884 (recon=5.4680 kl=7.7204) | val=13.1802 | beta=1.000 | 692s
[latent6_pm25wt] Epoch  99/100 | train=13.1842 (recon=5.4622 kl=7.7220) | val=13.2018 | beta=1.000 | 698s
[latent6_pm25wt] Epoch 100/100 | train=13.1863 (recon=5.4629 kl=7.7234) | val=13.1659 | beta=1.000 | 706s
[latent6_pm25wt] Best val loss: 13.1659, time: 705.7s
[latent6_pm25wt] DONE: val_loss=13.1659, mean_feat_r2=0.8513, overall_r2=0.8512, active_K=10/10
